city,cloudiness,humidity,lat,max temp,wind speed
Bonaberi,75,94,4.08,299.15,0.5
Sumabnit,8,85,16.02,302.584,1.36
Qumaym,80,93,32.57,286.734,1.04
Odaile,0,78,45.38,282.534,0.84
Livingston,75,88,32.58,296.15,4.1
La Concordia,12,96,13.2,294.384,0.99
Gashua,12,77,12.87,297.684,4.16
Anisoc,92,98,1.87,295.784,1.11
Caraballeda,20,83,10.61,299.15,1.0
Nikolskoye,40,61,59.7,283.15,4.0
Olutanga,56,100,7.31,301.084,2.71
Banganan,56,78,16.31,300.384,1.16
Ragusa,0,82,36.92,292.15,3.1
Voloka,0,82,48.34,287.15,2.0
Ringsted,8,72,55.45,290.15,4.1
Gargunnock,90,87,56.12,287.15,3.6
Paez,75,94,2.93,294.15,1.0
Narsingdi,90,94,23.92,298.15,3.6
Halmeu,64,100,47.98,289.15,1.29
Valle de Banderas,90,83,20.81,302.15,6.2
El Penol,32,97,1.46,282.784,0.84
Springfield,1,78,37.22,298.15,2.6
Kedungwuni,0,59,-6.92,300.634,0.44
Kingisepp,0,40,59.38,286.984,3.01
Oga,0,95,8.18,296.284,3.49
Hasanpur,0,58,28.72,306.284,2.56
Oistins,75,83,13.07,298.15,10.3
Dourbali,0,83,11.81,295.584,1.26
Kostrzyn,0,87,52.4,288.15,2.1
Fusagasuga,75,87,4.34,286.15,1.5
Sinayawan,75,74,6.71,303.15,3.1
Paracuru,20,78,-3.41,300.15,1.5
Messina,0,88,38.19,295.15,2.1
Abomey-Calavi,40,88,6.45,299.15,3.1
Plauen,0,100,50.5,286.15,1.5
Glamang,48,87,6.16,301.084,1.44
Nageshwari,48,96,25.94,297.634,1.94
Santa Helena,36,94,-2.23,296.234,2.51
Stenlille,0,72,55.79,290.15,4.1
Baganga,24,100,7.57,301.284,1.94
Lennestadt,0,88,51.12,291.15,2.6
Bacnotan,12,70,16.72,301.134,1.26
Nueva Germania,92,59,-23.91,296.234,2.84
Muggia,0,82,45.6,293.15,2.1
Chukhloma,0,59,58.76,278.084,9.09
Salamanca,12,98,40.97,282.534,1.59
Lewisville,1,55,33.05,305.15,5.1
Ponerihouen,0,100,-21.08,296.384,2.79
Ocana,90,88,41.96,292.15,1.5
Buarcos,75,87,40.16,289.15,3.6
Koryazhma,64,57,61.32,274.484,8.14
Cantel,64,98,14.81,288.434,0.79
Iguguno,12,84,-4.57,286.384,2.91
Anzio,0,88,41.45,292.15,1.5
Dambovicioara,8,85,45.45,280.734,0.79
Litomerice,0,93,50.53,288.15,1.0
Jutiapa,56,96,14.29,292.484,1.04
Luvianos,0,65,18.92,291.884,0.59
Tilik,12,94,13.81,303.884,6.54
Chipping Sodbury,90,100,51.54,289.15,2.6
Mildmay,68,79,44.04,296.634,6.66
Cedar Park,1,62,30.52,302.15,4.6
Odolena Voda,0,93,50.23,288.15,1.0
Atlixco,5,18,18.91,294.15,3.6
Oktyabrskoye,92,94,56.73,283.334,2.11
Poindimie,0,100,-20.93,296.384,2.79
Matata,0,100,-37.89,286.884,1.79
Cheremkhovo,0,55,53.15,294.534,4.09
Lakewood,90,77,33.85,294.15,4.1
Ahuacatlan,0,47,21.05,298.384,0.91
Erandio,75,87,43.3,289.15,1.5
Taunton,1,77,41.9,291.15,2.94
San Antonio,0,93,-33.58,280.15,1.49
Tonkino,36,79,57.37,279.084,6.16
Optasi,0,87,44.58,284.15,2.1
Makeni,92,96,8.88,296.584,2.01
Grevena,12,96,40.09,284.284,1.01
Kahta,0,93,37.78,287.15,4.1
Lure,92,100,47.69,287.834,2.26
Davydivka,100,51,50.28,293.734,1.69
Lazi,0,88,45.57,293.15,1.5
Bidara,64,51,17.91,303.534,3.94
Colton,40,49,34.07,298.15,5.1
Vocklabruck,12,82,48.02,290.15,1.5
Hoctun,75,65,20.87,301.15,1.94
Furao,92,100,29.56,289.584,1.24
Le Lamentin,0,78,14.62,299.15,2.6
Morangis,0,93,48.7,292.15,2.74
Ekazhevo,12,91,43.21,284.684,1.44
Taytay,92,100,10.83,300.134,2.16
Buxton,75,93,53.26,288.15,0.5
Aneby,0,71,57.84,285.15,1.5
Tantoyuca,8,49,21.35,304.784,5.29
Nikko,75,64,36.75,295.15,3.6
Margate,20,50,-43.03,284.15,5.7
Ceuta,0,73,23.9,300.284,1.46
Tricase,0,88,39.93,295.15,3.1
Saskylakh,56,87,71.97,281.584,6.16
Ako,75,100,34.79,292.15,2.6
Basse,0,87,52.55,290.15,1.5
Volnoye,32,80,44.63,287.484,0.91
Naruja,75,94,41.91,293.15,0.94
Makrana,0,40,27.04,306.784,1.96
Cincu,0,87,45.91,286.15,1.5
Voula,20,56,37.85,293.15,2.6
Baixa Grande,92,99,-11.96,292.684,1.79
Travnik,40,100,44.23,285.15,1.5
Anand,20,66,22.56,305.15,2.6
Limot,75,74,7.04,303.15,3.1
Pangpang,8,85,15.94,302.584,1.36
